adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/mDW6z7I6de6JbUgPOkAEZwKbg7G.jpg,"[16, 10751, 10402, 14, 35, 12]",901362,en,Trolls Band Together,"When Branch's brother, Floyd, is kidnapped for his musical talents by a pair of nefarious pop-star villains, Branch and Poppy embark on a harrowing and emotional journey to reunite the other brothers and rescue Floyd from a fate even worse than pop-culture obscurity.",10.1088,/3ySgD2xwasTHOK6R9bNZiEwKgYo.jpg,2023-10-12,Trolls Band Together,False,7.246,973
False,/r3ibKnJ3qZvcm42OleT0HlcRDUk.jpg,"[16, 12, 14, 10751]",79707,ja,星を追う子ども,"The film centers on Asuna, a young girl who spends her solitary days listening to the mysterious music emanating from the crystal radio she received from her late father as a memento. One day while walking home she is attacked by a fearsome monster and saved by a mysterious boy named Shun. However, Shun disappears and Asuna embarks on a journey of adventure to the land of Agartha with her teacher Mr. Morisaki to meet a Shun again. Through her journey she comes to know the cruelty and beauty of the world, as well as loss.",4.2583,/hWyBwsjMgtuZL2i1QBWQY0OCh0M.jpg,2011-05-07,Children Who Chase Lost Voices,False,7.246,774
False,/qSxeCfWUUyht9hZgaaYmtPtTkw2.jpg,"[12, 14, 10751]",8844,en,Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",3.5332,/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,1995-12-15,Jumanji,False,7.244,11226
False,/2AeE4Op9qjDSXe8GbfCtlbHFxhL.jpg,"[16, 10751, 14, 12]",75258,en,Secret of the Wings,Tinkerbell wanders into the forbidden Winter woods and meets Periwinkle. Together they learn the secret of their wings and try to unite the warm fairies and the winter fairies to help Pixie Hollow.,7.5365,/aPudKEzwwmwc5lS8sdxvG3WX86t.jpg,2012-08-17,Secret of the Wings,False,7.242,1350
False,/f5ynCAQ1MuDgwoVyjouTw6UgK1l.jpg,"[14, 878, 12]",902,fr,La Cité des enfants perdus,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",3.7424,/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg,1995-05-17,The City of Lost Children,False,7.24,1206
False,/wEXYJgW5l2IwwNdRVk9ixgKl8qu.jpg,"[10749, 14]",465136,en,Every Day,"16-year old Rhiannon falls in love with a mysterious spirit named “A” that inhabits a different body every day. Feeling an unmatched connection, Rhiannon and “A” work each day to find each other, not knowing what the next day will bring.",5.5366,/4UnME3icxSspwL0UoGZNSyyp7Xs.jpg,2018-02-22,Every Day,False,7.24,2293
False,/qsxhnirlp7y4Ae9bd11oYJSX59j.jpg,"[10751, 16, 35, 14, 12, 10402]",446893,en,Trolls World Tour,"Queen Poppy and Branch make a surprising discovery — there are other Troll worlds beyond their own, and their distinct differences create big clashes between these various tribes. When a mysterious threat puts all of the Trolls across the land in danger, Poppy, Branch, and their band of friends must embark on an epic quest to create harmony among the feuding Trolls to unite them against certain doom.",9.2488,/7W0G3YECgDAfnuiHG91r8WqgIOe.jpg,2020-03-11,Trolls World Tour,False,7.239,2257
False,/v7GQxa9ZmdMZjt4JwZF54mvAiTv.jpg,"[16, 28, 12, 14, 18, 27]",113082,ja,ベルセルク 黄金時代篇I 覇王の卵,"Guts, an immensely strong sword-for-hire, has little direction in his life, simply fighting one battle after the next. However, this all changes suddenly when he meets and is bested by Griffith, a beautiful and charismatic young man who leads the Band of the Hawk mercenary army. After Guts joins the Band and the relationship between the two men begins to blossom, Casca, the tough, lone swordswoman in the Band of the Hawk, struggles to accept Guts and the influence he has on the world around her.  While the two men begin to fight together, Griffith continues to rise to power, all seemingly in order to reach his mysterious, prophesied goals. What lengths will Guts and Griffith go to in order to reach these goals, and where will fate take the two men?",4.241,/xhF4dIVacYuQ2o7Wq4xOU8JCGgO.jpg,2012-02-04,Berserk: The Golden Age Arc I - The Egg of the King,False,7.238,537
False,/abirSHwWgKajV3hXhaIR5lcCIXe.jpg,"[18, 14, 10749]",399055,en,The Shape of Water,"An other-worldly story, set against the backdrop of Cold War era America circa 1962, where a mute janitor working at a lab falls in love with an amphibious man being held captive there and devises a plan to help him escape.",10.5853,/9zfwPffUXpBrEP26yp0q1ckXDcj.jpg,2017-12-01,The Shape of Water,False,7.236,12791
False,/AoSZyb37ljMAxw0RdeQEBHKtgcc.jpg,"[10751, 16, 12, 35, 14]",330457,en,Frozen II,"Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom.",14.3536,/mINJaa34MtknCYl5AjtNJzWj8cD.jpg,2019-11-20,Frozen II,False,7.233,10230
False,/6nLdSON3ErniBZTXWG7WRqs5jGz.jpg,"[14, 10749, 53]",251,en,Ghost,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.",11.997,/w9RaPHov8oM5cnzeE27isnFMsvS.jpg,1990-07-13,Ghost,False,7.232,5974
False,/zlsaQEE26TS34ziXAiNIAqa0MLX.jpg,"[14, 28, 80]",268,en,Batman,"Having witnessed his parents' brutal murder as a child, millionaire philanthropist Bruce Wayne fights crime in Gotham City disguised as Batman, a costumed hero who strikes fear into the hearts of villains. But when a deformed madman known as 'The Joker' seizes control of Gotham's criminal underworld, Batman must face his most ruthless nemesis ever while protecting both his identity and his love interest, reporter Vicki Vale.",11.7481,/cij4dd21v2Rk2YtUQbV5kW69WB2.jpg,1989-06-21,Batman,False,7.229,8502
False,/sBOenwOZGRN5nZZGw4TxwtnfrEf.jpg,"[28, 35, 14]",899112,en,Violent Night,"When a team of mercenaries breaks into a wealthy family compound on Christmas Eve, taking everyone inside hostage, the team isn’t prepared for a surprise combatant: Santa Claus is on the grounds, and he’s about to show why this Nick is no saint.",7.5744,/e8CpMgdyihz9Td7amQDqubPuzfN.jpg,2022-11-30,Violent Night,False,7.227,2520
False,/AdyJH8kDm8xT8IKTlgpEC15ny4u.jpg,"[14, 28, 12]",453395,en,Doctor Strange in the Multiverse of Madness,"Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.",19.1796,/ddJcSKbcp4rKZTmuyWaMhuwcfMz.jpg,2022-05-04,Doctor Strange in the Multiverse of Madness,False,7.225,10212
False,/lLQgQy1nX3qocg83BLTCz1911R4.jpg,"[18, 14, 36]",16646,ru,Русский ковчег,"A ghost and a French marquis wander through the Winter Palace in St Petersburg, encountering scenes from many different periods of its history.",1.5902,/dkFM8Q7J0wNpEnbtD1AcWumkShj.jpg,2002-05-22,Russian Ark,False,7.225,504
False,/uMe6McFXAPEhkasGVlaLTOuhfnl.jpg,"[16, 10751, 14]",9078,en,The Sword in the Stone,"Wart is a young boy who aspires to be a knight's squire. On a hunting trip he falls in on Merlin, a powerful but amnesiac wizard who has plans for him beyond mere squiredom. He starts by trying to give him an education, believing that once one has an education, one can go anywhere. Needless to say, it doesn't quite work out that way.",8.5708,/7lyeeuhGAJSNXYEW34S8mJ1bwI8.jpg,1963-12-25,The Sword in the Stone,False,7.2,4076
False,/pzMrxeP9XkKOtQVUBPTq5yk4ck5.jpg,"[12, 35, 18, 14]",116745,en,The Secret Life of Walter Mitty,A timid magazine photo manager who lives life vicariously through daydreams embarks on a true-life adventure when a negative goes missing.,8.1034,/iAo1hlzsPV9XpYcLQp6Ud065tGO.jpg,2013-12-18,The Secret Life of Walter Mitty,False,7.218,8186
False,/3yZva3ONs7C1kKJ6IVvrZQJCUIj.jpg,"[14, 35, 10402, 10749]",5590,fr,Peau d'âne,A fairy godmother helps a princess disguise herself so she won't have to marry her father.,2.9049,/kSODEFNpTBCOJNHhsbwrwvH0Uvd.jpg,1970-12-16,Donkey Skin,False,7.219,546
